case_id,activity,timestamp,resource
192,Received,1998-04-03,Clerk#000000483
193,Order Placed,1993-08-08,Clerk#000000025
193,Shipped,1993-08-21,Clerk#000000025
193,Committed,1993-10-08,Clerk#000000025
193,Received,1993-12-05,Clerk#000000025
194,Order Placed,1992-04-05,Clerk#000000352
194,Shipped,1992-04-30,Clerk#000000352
194,Committed,1992-05-18,Clerk#000000352
194,Received,1992-07-11,Clerk#000000352
195,Order Placed,1993-12-28,Clerk#000000216
195,Shipped,1994-01-09,Clerk#000000216
195,Committed,1994-02-11,Clerk#000000216
195,Received,1994-04-09,Clerk#000000216
196,Order Placed,1993-03-17,Clerk#000000988
196,Shipped,1993-04-17,Clerk#000000988
196,Committed,1993-05-08,Clerk#000000988
196,Received,1993-07-06,Clerk#000000988
197,Order Placed,1995-04-07,Clerk#000000969
197,Shipped,1995-04-17,Clerk#000000969
197,Committed,1995-05-23,Clerk#000000969
197,Received,1995-08-14,Clerk#000000969
198,Order Placed,1998-01-02,Clerk#000000331
198,Shipped,1998-01-05,Clerk#000000331
198,Committed,1998-02-26,Clerk#000000331
198,Received,1998-04-15,Clerk#000000331
199,Order Placed,1996-03-07,Clerk#000000489
199,Shipped,1996-03-27,Clerk#000000489
199,Committed,1996-05-29,Clerk#000000489
199,Received,1996-07-04,Clerk#000000489
224,Order Placed,1994-06-18,Clerk#000000642
224,Shipped,1994-07-13,Clerk#000000642
224,Committed,1994-07-30,Clerk#000000642
224,Received,1994-10-20,Clerk#000000642
225,Order Placed,1995-05-25,Clerk#000000177
225,Shipped,1995-06-04,Clerk#000000177
225,Committed,1995-07-08,Clerk#000000177
225,Received,1995-10-22,Clerk#000000177
226,Order Placed,1993-03-10,Clerk#000000756
226,Shipped,1993-03-26,Clerk#000000756
226,Committed,1993-04-13,Clerk#000000756
226,Received,1993-07-13,Clerk#000000756
227,Order Placed,1995-11-10,Clerk#000000919
227,Shipped,1995-12-10,Clerk#000000919
227,Committed,1995-12-24,Clerk#000000919
227,Received,1996-02-12,Clerk#000000919
228,Order Placed,1993-02-25,Clerk#000000562
228,Committed,1993-04-08,Clerk#000000562
228,Shipped,1993-05-20,Clerk#000000562
228,Received,1993-05-26,Clerk#000000562
229,Order Placed,1993-12-29,Clerk#000000628
229,Shipped,1994-01-11,Clerk#000000628
229,Committed,1994-01-31,Clerk#000000628
229,Received,1994-04-13,Clerk#000000628
230,Order Placed,1993-10-27,Clerk#000000520
230,Shipped,1993-11-03,Clerk#000000520
230,Committed,1994-01-03,Clerk#000000520
230,Received,1994-03-11,Clerk#000000520
231,Order Placed,1994-09-29,Clerk#000000446
231,Committed,1994-10-29,Clerk#000000446
231,Shipped,1994-11-05,Clerk#000000446
231,Received,1994-12-17,Clerk#000000446
256,Order Placed,1993-10-19,Clerk#000000834
256,Shipped,1993-11-30,Clerk#000000834
256,Committed,1993-12-13,Clerk#000000834
256,Received,1994-02-10,Clerk#000000834
257,Order Placed,1998-03-28,Clerk#000000680
257,Committed,1998-05-15,Clerk#000000680
257,Shipped,1998-06-18,Clerk#000000680
257,Received,1998-06-27,Clerk#000000680
258,Order Placed,1993-12-29,Clerk#000000167
258,Shipped,1994-01-11,Clerk#000000167
258,Committed,1994-02-13,Clerk#000000167
258,Received,1994-04-29,Clerk#000000167
259,Order Placed,1993-09-29,Clerk#000000601
259,Shipped,1993-10-04,Clerk#000000601
259,Committed,1993-11-07,Clerk#000000601
259,Received,1993-12-31,Clerk#000000601
260,Order Placed,1996-12-10,Clerk#000000960
260,Shipped,1996-12-12,Clerk#000000960
260,Committed,1997-01-14,Clerk#000000960
260,Received,1997-04-22,Clerk#000000960
261,Order Placed,1993-06-29,Clerk#000000310
261,Shipped,1993-07-24,Clerk#000000310
261,Committed,1993-08-02,Clerk#000000310
261,Received,1993-11-07,Clerk#000000310
262,Order Placed,1995-11-25,Clerk#000000551
262,Shipped,1996-01-15,Clerk#000000551
262,Committed,1996-01-31,Clerk#000000551
262,Received,1996-04-11,Clerk#000000551
263,Order Placed,1994-05-17,Clerk#000000088
263,Committed,1994-06-20,Clerk#000000088
263,Shipped,1994-07-21,Clerk#000000088
263,Received,1994-09-09,Clerk#000000088
288,Order Placed,1997-02-21,Clerk#000000109
288,Shipped,1997-02-22,Clerk#000000109
288,Committed,1997-04-04,Clerk#000000109
288,Received,1997-06-20,Clerk#000000109
289,Order Placed,1997-02-10,Clerk#000000103
289,Shipped,1997-02-18,Clerk#000000103
289,Committed,1997-03-30,Clerk#000000103
289,Received,1997-07-02,Clerk#000000103
290,Order Placed,1994-01-01,Clerk#000000735
290,Shipped,1994-01-19,Clerk#000000735
290,Committed,1994-02-05,Clerk#000000735
290,Received,1994-04-27,Clerk#000000735
291,Order Placed,1994-03-13,Clerk#000000923
291,Shipped,1994-03-22,Clerk#000000923
291,Committed,1994-04-25,Clerk#000000923
291,Received,1994-06-23,Clerk#000000923
292,Order Placed,1992-01-13,Clerk#000000193
292,Shipped,1992-02-18,Clerk#000000193
292,Committed,1992-03-06,Clerk#000000193
292,Received,1992-04-20,Clerk#000000193
293,Order Placed,1992-10-02,Clerk#000000629
293,Shipped,1992-10-19,Clerk#000000629
293,Committed,1992-12-01,Clerk#000000629
293,Received,1993-01-12,Clerk#000000629
294,Order Placed,1993-07-16,Clerk#000000499
294,Shipped,1993-08-06,Clerk#000000499
294,Received,1993-08-13,Clerk#000000499
294,Committed,1993-08-19,Clerk#000000499
295,Order Placed,1994-09-29,Clerk#000000155
295,Shipped,1994-11-09,Clerk#000000155
295,Committed,1994-11-17,Clerk#000000155
295,Received,1995-01-25,Clerk#000000155
320,Order Placed,1997-11-21,Clerk#000000573
320,Shipped,1997-12-04,Clerk#000000573
320,Received,1997-12-17,Clerk#000000573
320,Committed,1997-12-26,Clerk#000000573
321,Order Placed,1993-03-21,Clerk#000000289
321,Committed,1993-04-24,Clerk#000000289
321,Shipped,1993-06-21,Clerk#000000289
321,Received,1993-08-13,Clerk#000000289
322,Order Placed,1992-03-19,Clerk#000000158
322,Shipped,1992-04-12,Clerk#000000158
322,Committed,1992-05-03,Clerk#000000158
322,Received,1992-08-14,Clerk#000000158
323,Order Placed,1994-03-26,Clerk#000000959
323,Shipped,1994-04-13,Clerk#000000959
323,Committed,1994-04-25,Clerk#000000959
323,Received,1994-07-13,Clerk#000000959
324,Order Placed,1992-03-20,Clerk#000000352
324,Shipped,1992-04-19,Clerk#000000352
324,Received,1992-05-12,Clerk#000000352
324,Committed,1992-05-28,Clerk#000000352
325,Order Placed,1993-10-17,Clerk#000000844
325,Shipped,1993-10-28,Clerk#000000844
325,Committed,1993-12-13,Clerk#000000844
325,Received,1994-01-04,Clerk#000000844
326,Order Placed,1995-06-04,Clerk#000000466
326,Committed,1995-07-04,Clerk#000000466
326,Shipped,1995-07-05,Clerk#000000466
326,Received,1995-10-22,Clerk#000000466
327,Order Placed,1995-04-17,Clerk#000000992
327,Shipped,1995-05-24,Clerk#000000992
327,Committed,1995-06-07,Clerk#000000992
327,Received,1995-07-09,Clerk#000000992
352,Order Placed,1994-03-08,Clerk#000000932
352,Committed,1994-05-31,Clerk#000000932
352,Shipped,1994-06-02,Clerk#000000932
352,Received,1994-06-29,Clerk#000000932
353,Order Placed,1993-12-31,Clerk#000000449
353,Shipped,1994-01-02,Clerk#000000449
353,Committed,1994-01-31,Clerk#000000449
353,Received,1994-05-05,Clerk#000000449
354,Order Placed,1996-03-14,Clerk#000000511
354,Shipped,1996-03-19,Clerk#000000511
354,Committed,1996-04-18,Clerk#000000511
354,Received,1996-07-10,Clerk#000000511
355,Order Placed,1994-06-14,Clerk#000000532
355,Shipped,1994-07-13,Clerk#000000532
355,Committed,1994-07-19,Clerk#000000532
355,Received,1994-09-06,Clerk#000000532
356,Order Placed,1994-06-30,Clerk#000000944
356,Shipped,1994-07-15,Clerk#000000944
356,Committed,1994-07-31,Clerk#000000944
356,Received,1994-10-23,Clerk#000000944
357,Order Placed,1996-10-09,Clerk#000000301
357,Committed,1996-11-13,Clerk#000000301
357,Shipped,1996-12-28,Clerk#000000301
357,Received,1997-02-14,Clerk#000000301
358,Order Placed,1993-09-20,Clerk#000000392
358,Shipped,1993-10-04,Clerk#000000392
358,Committed,1993-10-29,Clerk#000000392
358,Received,1994-01-17,Clerk#000000392
359,Order Placed,1994-12-19,Clerk#000000934
359,Shipped,1995-01-06,Clerk#000000934
359,Committed,1995-01-20,Clerk#000000934
359,Received,1995-04-25,Clerk#000000934
384,Order Placed,1992-03-03,Clerk#000000206
384,Shipped,1992-04-01,Clerk#000000206
384,Committed,1992-04-18,Clerk#000000206
384,Received,1992-07-22,Clerk#000000206
385,Order Placed,1996-03-22,Clerk#000000600
385,Shipped,1996-03-29,Clerk#000000600
385,Committed,1996-05-09,Clerk#000000600
385,Received,1996-06-06,Clerk#000000600
386,Order Placed,1995-01-25,Clerk#000000648
386,Committed,1995-02-28,Clerk#000000648
386,Shipped,1995-04-12,Clerk#000000648
386,Received,1995-05-25,Clerk#000000648
387,Order Placed,1997-01-26,Clerk#000000768
387,Committed,1997-02-25,Clerk#000000768
387,Shipped,1997-03-08,Clerk#000000768
387,Received,1997-05-29,Clerk#000000768
388,Order Placed,1992-12-16,Clerk#000000356
388,Shipped,1992-12-24,Clerk#000000356
388,Committed,1993-01-26,Clerk#000000356
388,Received,1993-03-24,Clerk#000000356
389,Order Placed,1994-02-17,Clerk#000000062
389,Committed,1994-04-10,Clerk#000000062
389,Shipped,1994-04-13,Clerk#000000062
389,Received,1994-04-25,Clerk#000000062
390,Order Placed,1998-04-07,Clerk#000000404
390,Shipped,1998-04-18,Clerk#000000404
390,Committed,1998-05-10,Clerk#000000404
390,Received,1998-07-18,Clerk#000000404
391,Order Placed,1994-11-17,Clerk#000000256
391,Committed,1995-02-03,Clerk#000000256
391,Shipped,1995-02-11,Clerk#000000256
391,Received,1995-02-13,Clerk#000000256
416,Order Placed,1993-09-27,Clerk#000000294
416,Shipped,1993-10-11,Clerk#000000294
416,Committed,1993-11-26,Clerk#000000294
416,Received,1994-01-09,Clerk#000000294
417,Order Placed,1994-02-06,Clerk#000000468
417,Shipped,1994-02-13,Clerk#000000468
417,Committed,1994-03-08,Clerk#000000468
417,Received,1994-06-06,Clerk#000000468
418,Order Placed,1995-04-13,Clerk#000000643
418,Shipped,1995-06-05,Clerk#000000643
418,Committed,1995-06-16,Clerk#000000643
418,Received,1995-07-23,Clerk#000000643
419,Order Placed,1996-10-01,Clerk#000000376
419,Shipped,1996-11-06,Clerk#000000376
419,Committed,1996-11-28,Clerk#000000376
419,Received,1997-02-01,Clerk#000000376
420,Order Placed,1995-10-31,Clerk#000000756
420,Shipped,1995-11-04,Clerk#000000756
420,Committed,1995-12-13,Clerk#000000756
420,Received,1996-02-12,Clerk#000000756
421,Order Placed,1992-02-22,Clerk#000000405
421,Committed,1992-04-27,Clerk#000000405
421,Shipped,1992-05-29,Clerk#000000405
421,Received,1992-06-09,Clerk#000000405
422,Order Placed,1997-05-31,Clerk#000000049
422,Shipped,1997-06-15,Clerk#000000049
422,Committed,1997-07-09,Clerk#000000049
422,Received,1997-09-22,Clerk#000000049
423,Order Placed,1996-06-01,Clerk#000000674
423,Committed,1996-08-01,Clerk#000000674
423,Shipped,1996-08-20,Clerk#000000674
423,Received,1996-08-23,Clerk#000000674
448,Order Placed,1995-08-21,Clerk#000000597
448,Shipped,1995-08-31,Clerk#000000597
448,Committed,1995-09-30,Clerk#000000597
448,Received,1995-11-26,Clerk#000000597
449,Order Placed,1995-07-20,Clerk#000000841
449,Shipped,1995-07-28,Clerk#000000841
449,Committed,1995-08-25,Clerk#000000841
449,Received,1995-11-21,Clerk#000000841
450,Order Placed,1995-03-05,Clerk#000000293
450,Shipped,1995-03-11,Clerk#000000293
450,Committed,1995-04-25,Clerk#000000293
450,Received,1995-07-30,Clerk#000000293
451,Order Placed,1998-05-25,Clerk#000000048
451,Shipped,1998-06-16,Clerk#000000048
451,Committed,1998-07-03,Clerk#000000048
451,Received,1998-08-30,Clerk#000000048
452,Order Placed,1997-10-14,Clerk#000000498
452,Shipped,1997-12-26,Clerk#000000498
452,Committed,1998-01-03,Clerk#000000498
452,Received,1998-01-12,Clerk#000000498
453,Order Placed,1997-05-26,Clerk#000000504
453,Committed,1997-06-27,Clerk#000000504
453,Shipped,1997-06-30,Clerk#000000504
453,Received,1997-10-14,Clerk#000000504
454,Order Placed,1995-12-27,Clerk#000000890
454,Committed,1996-03-23,Clerk#000000890
454,Shipped,1996-04-26,Clerk#000000890
454,Received,1996-05-20,Clerk#000000890
455,Order Placed,1996-12-04,Clerk#000000796
455,Shipped,1996-12-20,Clerk#000000796
455,Committed,1997-01-10,Clerk#000000796
455,Received,1997-03-26,Clerk#000000796
480,Order Placed,1993-05-08,Clerk#000000004
480,Shipped,1993-06-16,Clerk#000000004
480,Received,1993-07-09,Clerk#000000004
480,Committed,1993-07-28,Clerk#000000004
481,Order Placed,1992-10-08,Clerk#000000230
481,Shipped,1992-10-21,Clerk#000000230
481,Committed,1992-11-11,Clerk#000000230
481,Received,1993-02-05,Clerk#000000230
482,Order Placed,1996-03-26,Clerk#000000295
482,Shipped,1996-03-27,Clerk#000000295
482,Committed,1996-04-25,Clerk#000000295
482,Received,1996-08-10,Clerk#000000295
483,Order Placed,1995-07-11,Clerk#000000025
483,Shipped,1995-07-20,Clerk#000000025
483,Committed,1995-08-11,Clerk#000000025
483,Received,1995-09-18,Clerk#000000025
484,Order Placed,1997-01-03,Clerk#000000545
484,Shipped,1997-01-24,Clerk#000000545
484,Committed,1997-02-08,Clerk#000000545
484,Received,1997-05-17,Clerk#000000545
485,Order Placed,1997-03-26,Clerk#000000105
485,Shipped,1997-03-28,Clerk#000000105
485,Committed,1997-04-27,Clerk#000000105
485,Received,1997-05-01,Clerk#000000105
486,Order Placed,1996-03-11,Clerk#000000803
486,Shipped,1996-03-16,Clerk#000000803
486,Committed,1996-04-20,Clerk#000000803
486,Received,1996-07-23,Clerk#000000803
487,Order Placed,1992-08-18,Clerk#000000086
487,Shipped,1992-09-30,Clerk#000000086
487,Committed,1992-10-08,Clerk#000000086
487,Received,1992-11-11,Clerk#000000086
512,Order Placed,1995-05-20,Clerk#000000814
512,Shipped,1995-05-21,Clerk#000000814
512,Committed,1995-06-21,Clerk#000000814
512,Received,1995-10-07,Clerk#000000814
513,Order Placed,1995-05-01,Clerk#000000522
513,Committed,1995-05-31,Clerk#000000522
513,Shipped,1995-07-12,Clerk#000000522
513,Received,1995-08-12,Clerk#000000522
514,Order Placed,1996-04-04,Clerk#000000094
514,Shipped,1996-04-14,Clerk#000000094
514,Committed,1996-05-14,Clerk#000000094
514,Received,1996-07-07,Clerk#000000094
515,Order Placed,1993-08-29,Clerk#000000700
515,Shipped,1993-09-04,Clerk#000000700
515,Committed,1993-10-02,Clerk#000000700
515,Received,1993-12-03,Clerk#000000700
516,Order Placed,1998-04-21,Clerk#000000305
516,Shipped,1998-05-02,Clerk#000000305
516,Received,1998-05-12,Clerk#000000305
516,Committed,1998-05-23,Clerk#000000305
517,Order Placed,1997-04-07,Clerk#000000359
517,Shipped,1997-04-09,Clerk#000000359
517,Committed,1997-05-07,Clerk#000000359
517,Received,1997-06-27,Clerk#000000359
518,Order Placed,1998-02-08,Clerk#000000768
518,Shipped,1998-02-18,Clerk#000000768
518,Committed,1998-03-17,Clerk#000000768
518,Received,1998-04-29,Clerk#000000768
519,Order Placed,1997-10-31,Clerk#000000985
519,Shipped,1997-11-20,Clerk#000000985
519,Committed,1997-12-02,Clerk#000000985
519,Received,1998-03-19,Clerk#000000985
544,Order Placed,1993-02-17,Clerk#000000145
544,Shipped,1993-03-14,Clerk#000000145
544,Committed,1993-03-27,Clerk#000000145
544,Received,1993-03-27,Clerk#000000145
545,Order Placed,1995-11-07,Clerk#000000537
545,Committed,1995-12-16,Clerk#000000537
545,Shipped,1996-02-21,Clerk#000000537
545,Received,1996-03-21,Clerk#000000537
546,Order Placed,1996-11-01,Clerk#000000041
546,Committed,1996-12-30,Clerk#000000041
546,Shipped,1997-02-04,Clerk#000000041
546,Received,1997-02-25,Clerk#000000041
547,Order Placed,1996-06-22,Clerk#000000976
547,Committed,1996-08-01,Clerk#000000976
547,Shipped,1996-09-04,Clerk#000000976
547,Received,1996-11-20,Clerk#000000976
548,Order Placed,1994-09-21,Clerk#000000435
548,Shipped,1994-09-24,Clerk#000000435
548,Committed,1994-11-06,Clerk#000000435
548,Received,1995-02-10,Clerk#000000435
549,Order Placed,1992-07-13,Clerk#000000196
549,Shipped,1992-07-31,Clerk#000000196
549,Committed,1992-08-12,Clerk#000000196
549,Received,1992-11-13,Clerk#000000196
550,Order Placed,1995-08-02,Clerk#000000204
550,Committed,1995-09-27,Clerk#000000204
550,Shipped,1995-10-24,Clerk#000000204
550,Received,1995-11-04,Clerk#000000204
551,Order Placed,1995-05-30,Clerk#000000179
551,Committed,1995-07-18,Clerk#000000179
551,Shipped,1995-07-29,Clerk#000000179
551,Received,1995-10-11,Clerk#000000179
576,Order Placed,1997-05-13,Clerk#000000955
576,Shipped,1997-05-15,Clerk#000000955
576,Committed,1997-06-16,Clerk#000000955
576,Received,1997-09-25,Clerk#000000955
577,Order Placed,1994-12-19,Clerk#000000154
577,Committed,1995-02-20,Clerk#000000154
577,Shipped,1995-03-19,Clerk#000000154
577,Received,1995-05-09,Clerk#000000154
578,Order Placed,1997-01-10,Clerk#000000281
578,Shipped,1997-02-10,Clerk#000000281
578,Committed,1997-03-03,Clerk#000000281
578,Received,1997-03-20,Clerk#000000281
579,Order Placed,1998-03-11,Clerk#000000862
579,Shipped,1998-04-24,Clerk#000000862
579,Committed,1998-04-25,Clerk#000000862
579,Received,1998-07-19,Clerk#000000862
580,Order Placed,1997-07-05,Clerk#000000314
580,Shipped,1997-07-23,Clerk#000000314
580,Committed,1997-09-08,Clerk#000000314
580,Received,1997-10-16,Clerk#000000314
581,Order Placed,1997-02-23,Clerk#000000239
581,Shipped,1997-02-27,Clerk#000000239
581,Committed,1997-04-06,Clerk#000000239
581,Received,1997-06-22,Clerk#000000239
582,Order Placed,1997-10-21,Clerk#000000378
582,Shipped,1997-11-15,Clerk#000000378
582,Committed,1997-11-27,Clerk#000000378
582,Received,1997-12-31,Clerk#000000378
583,Order Placed,1997-03-19,Clerk#000000792
583,Committed,1997-04-24,Clerk#000000792
583,Shipped,1997-05-11,Clerk#000000792
583,Received,1997-08-11,Clerk#000000792
608,Order Placed,1996-02-28,Clerk#000000995
608,Committed,1996-04-11,Clerk#000000995
608,Shipped,1996-04-19,Clerk#000000995
608,Received,1996-06-02,Clerk#000000995
609,Order Placed,1994-06-01,Clerk#000000348
609,Committed,1994-08-23,Clerk#000000348
609,Shipped,1994-08-24,Clerk#000000348
609,Received,1994-08-27,Clerk#000000348
610,Order Placed,1995-08-02,Clerk#000000610
610,Shipped,1995-08-11,Clerk#000000610
610,Committed,1995-09-09,Clerk#000000610
610,Received,1995-12-04,Clerk#000000610
611,Order Placed,1993-01-27,Clerk#000000401
611,Committed,1993-02-26,Clerk#000000401
611,Shipped,1993-03-10,Clerk#000000401
611,Received,1993-06-15,Clerk#000000401
